BCH_NO	INVSPL_CD	INDVROLETP_CD	TRANS_CD	CORPINDV_CD	DEDTRANS_NO	DT	ISSUE_PRCAL_PAY_NO	FR_PRCAL_PAY_NO	TO_PRCAL_PAY_NO	AMT	CHQTP_CD	PAY_REVS_IND	ORIG_TRANS_CD	GL_CD	MISACCT_CD	ORG_CD	THPTY_CD	BONDANNCAMP_EFFYR	INDV_ID
11		E	C459	I	336	1/1/2023 0:00				200.00	1	0	C459						501379
11		E	C459	I	337	1/1/2023 0:00				200.00	1	0	C459						501265
11		E	C459	I	338	1/1/2023 0:00				200.00	1	0	C459						370028
11		E	C459	I	339	1/1/2023 0:00				200.00	1	0	C459						278402
11		E	C459	I	340	1/1/2023 0:00				200.00	1	0	C459						523858
11		E	C459	I	341	1/1/2023 0:00				200.00	1	0	C459						490537
11		E	C459	I	342	1/1/2023 0:00				200.00	1	0	C459						501578
11		E	C459	I	343	1/1/2023 0:00				200.00	1	0	C459						65144
11		E	C459	I	344	1/1/2023 0:00				200.00	1	0	C459						504373
11		E	C459	I	345	1/1/2023 0:00				200.00	1	0	C459						384983
11		E	C459	I	346	1/1/2023 0:00				200.00	1	0	C459						510441
11		E	C459	I	347	1/1/2023 0:00				200.00	1	0	C459						153626
11		E	C459	I	348	1/1/2023 0:00				200.00	1	0	C459						307756
11		E	C459	I	349	1/1/2023 0:00				200.00	1	0	C459						503014
11		E	C459	I	350	1/1/2023 0:00				200.00	1	0	C459						143280
